Description,Price,Rating,Review Count,URL
TracFone LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA - Fustration Free Packaging,$29.99,4.4 out of 5 stars,506,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A005972527SV7BZAZ3YFB&url=%2FTracFone-LG-Journey-Prepaid-Smartphone%2Fdp%2FB09238C448%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309311%26sr%3D8-1-spons%26psc%3D1&qualifier=1634309311&id=3435083157754560&widgetName=sp_atf
"SAMSUNG Galaxy S20 FE 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 30X Space Zoom Night Mode, Cloud Navy",$599.99,4.6 out of 5 stars,"7,059",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08321811Y6GC26RJ78II&url=%2FSamsung-Factory-Unlocked-Smartphone-Pro-Grade%2Fdp%2FB08FYTSXGQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309311%26sr%3D8-2-spons%26psc%3D1&qualifier=1634309311&id=3435083157754560&widgetName=sp_atf
"LG Velvet 5G LM-G900TM, US 5G/Global 4G LTE, 128GB, 6GB RAM, Aurora White - T-Mobile Unlocked (AT&T, Metro, Global) - 64GB SD Bundle",$284.95,4.0 out of 5 stars,158,https://www.amazon.com/LG-Velvet-LM-G900TM-Global-Aurora/dp/B08WJNKMGK/ref=sr_1_3?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-3
"LG Q70 Unlocked Smartphone – 4/64 GB – Black (Made for US by LG) – Verizon, AT&T, T–Mobile, Sprint, Boost, Cricket, Metro (Universal Compatibility)",$306.99,3.7 out of 5 stars,44,https://www.amazon.com/LG-Q70-Unlocked-Smartphone-Compatibility/dp/B0891NHY93/ref=sr_1_5?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-5
"LG G8X ThinQ (128GB, 6GB) 6.4"", Dual Camera, Snapdragon 855, 4G LTE GSM AT&T Unlocked (T-Mobile, Metro) US Warranty LM-G850UM (Aurora Black)",$279.72,4.2 out of 5 stars,54,https://www.amazon.com/LG-Snapdragon-Unlocked-T-Mobile-LM-G850UM/dp/B08MSXG9XJ/ref=sr_1_6?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-6
"LG Stylo 6 Android Smartphone – 64 GB - (Renewed) (White, GSM Unlocked)",$169.99,3.8 out of 5 stars,175,https://www.amazon.com/LG-Stylo-Android-Smartphone-Unlocked/dp/B08K3QM79K/ref=sr_1_7?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-7
"LG Velvet 5G G900UM 128GB AT&T GSM Unlocked Phone 6.8"" - NO CDMA (Silver)",$287.67,4.3 out of 5 stars,257,https://www.amazon.com/LG-Velvet-G900UM-128GB-Unlocked/dp/B08TQKMB5Q/ref=sr_1_8?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-8
"LG Velvet 5G G900TM 128GB T-Mobile Locked (Metro, Simple, Ultra) Android GSM Phone 6.8"" - NO CDMA (Aurora White)",$289.95,4.5 out of 5 stars,15,https://www.amazon.com/LG-Velvet-G900TM-T-Mobile-Android/dp/B08WJMDWT8/ref=sr_1_10?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-10
TracFone LG Reflect LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$131.37,4.4 out of 5 stars,143,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04831353A44LE6AWZE3C&url=%2FTracFone-Reflect-Prepaid-Smartphone-Locked%2Fdp%2FB08J5DRB63%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309311%26sr%3D8-11-spons%26psc%3D1&qualifier=1634309311&id=3435083157754560&widgetName=sp_mtf
LG K52 LM-K520HMW 64GB GSM Unlocked Android Smartphone (International Variant/US Compatible LTE) - Red,$159.72,2.9 out of 5 stars,12,https://www.amazon.com/LG-K52-LM-K520HMW-Smartphone-International/dp/B08XWRRZ3V/ref=sr_1_12?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-12
"LG Electronics Stylo 4 Factory Unlocked Phone - 6.2"" Screen - 32GB - Black",$268.57,4.2 out of 5 stars,308,https://www.amazon.com/LG-LMQ710ULM-Factory-Unlocked-Phone/dp/B07DYHXW6H/ref=sr_1_13?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-13
"LG K51 (2020) 32GB/3GB, 6.5 FHD+ Display, Unlocked GSM Smartphone - Platinum (Carrier Packaging)",$162.72,3.3 out of 5 stars,29,https://www.amazon.com/LG-32GB-Display-Unlocked-Smartphone/dp/B0968XXRPK/ref=sr_1_14?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-14
"LG V20 H910a 64GB 5.7"" IPS LCD Display Android Smartphone w/ Dual Rear Cameras (16MP+8MP) - Carrier Unlocked for all GSM Carriers Worldwide (Titan Gray)",$134.00,3.9 out of 5 stars,259,https://www.amazon.com/LG-V20-Display-Android-Smartphone/dp/B06XMQCGKB/ref=sr_1_15?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-15
TracFone LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$71.00,4.0 out of 5 stars,180,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04763275M5XQW06ABOJ&url=%2FTracFone-Premier-Prepaid-Smartphone-Locked%2Fdp%2FB08J4J18SP%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309311%26sr%3D8-16-spons%26psc%3D1&qualifier=1634309311&id=3435083157754560&widgetName=sp_mtf
LG G8 ThinQ (G820) 128GB GSM Unlocked (not CDMA) 6.1” Display Smartphone - Platinum Gray (Renewed),$201.58,4.3 out of 5 stars,421,https://www.amazon.com/LG-G8-ThinQ-Unlock-Platinum/dp/B07V7H15KF/ref=sr_1_17?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-17
"LG K22+ Plus LM-K200HAW Smartphone, US+LATIN 4G LTE, International Version (No US Warranty), 64GB, Titan - Unlocked w/ 64GB SD Bundle",$141.53,3.7 out of 5 stars,293,https://www.amazon.com/LG-Unlocked-T-Mobile-International-LM-K200HAW/dp/B08KWM2255/ref=sr_1_19?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-19
Simple Mobile LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM,$79.00,4.1 out of 5 stars,20,https://www.amazon.com/Simple-Mobile-Premier-Prepaid-Smartphone/dp/B08J4JPN7J/ref=sr_1_20?dchild=1&keywords=lg+mobile&qid=1634309311&sr=8-20
"TCL 20 SE 6.82"" Unlocked Cellphone, 4GB RAM + 128GB ROM, US Version Android 11 Smartphone with 48MP Rear AI Quad-Camera, 5000mAh Big Battery, Dual Speaker, OTG Reverse Charging Octa-Core, Aurora Green",$189.99,4.2 out of 5 stars,380,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A088291415ZHLA05YGTI&url=%2FTCL-Cellphone-Smartphone-Quad-Camera-Octa-Core%2Fdp%2FB0949744D3%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309311%26sr%3D8-21-spons%26psc%3D1&qualifier=1634309311&id=3435083157754560&widgetName=sp_btf
