Description,Price,Rating,Review Count,URL
TracFone LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA - Fustration Free Packaging,$29.99,4.4 out of 5 stars,506,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A005972527SV7BZAZ3YFB&url=%2FTracFone-LG-Journey-Prepaid-Smartphone%2Fdp%2FB09238C448%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634308779%26sr%3D8-1-spons%26psc%3D1&qualifier=1634308779&id=8115002162676968&widgetName=sp_atf
"SAMSUNG Galaxy S20 FE 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 30X Space Zoom Night Mode, Cloud Navy",$599.99,4.6 out of 5 stars,"7,059",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08321811Y6GC26RJ78II&url=%2FSamsung-Factory-Unlocked-Smartphone-Pro-Grade%2Fdp%2FB08FYTSXGQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634308779%26sr%3D8-2-spons%26psc%3D1&qualifier=1634308779&id=8115002162676968&widgetName=sp_atf
"LG Velvet 5G LM-G900TM, US 5G/Global 4G LTE, 128GB, 6GB RAM, Aurora White - T-Mobile Unlocked (AT&T, Metro, Global) - 64GB SD Bundle",$284.95,4.0 out of 5 stars,158,https://www.amazon.com/LG-Velvet-LM-G900TM-Global-Aurora/dp/B08WJNKMGK/ref=sr_1_3?dchild=1&keywords=lg+mobile&qid=1634308779&sr=8-3
"LG Q70 Unlocked Smartphone – 4/64 GB – Black (Made for US by LG) – Verizon, AT&T, T–Mobile, Sprint, Boost, Cricket, Metro (Universal Compatibility)",$306.99,3.7 out of 5 stars,44,https://www.amazon.com/LG-Q70-Unlocked-Smartphone-Compatibility/dp/B0891NHY93/ref=sr_1_5?dchild=1&keywords=lg+mobile&qid=1634308779&sr=8-5
"LG G8X ThinQ (128GB, 6GB) 6.4"", Dual Camera, Snapdragon 855, 4G LTE GSM AT&T Unlocked (T-Mobile, Metro) US Warranty LM-G850UM (Aurora Black)",$279.72,4.2 out of 5 stars,54,https://www.amazon.com/LG-Snapdragon-Unlocked-T-Mobile-LM-G850UM/dp/B08MSXG9XJ/ref=sr_1_6?dchild=1&keywords=lg+mobile&qid=1634308779&sr=8-6
"LG Stylo 6 Android Smartphone – 64 GB - (Renewed) (White, GSM Unlocked)",$167.99,3.8 out of 5 stars,175,https://www.amazon.com/LG-Stylo-Android-Smartphone-Unlocked/dp/B08K3QM79K/ref=sr_1_7?dchild=1&keywords=lg+mobile&qid=1634308779&sr=8-7
"LG Velvet 5G G900UM 128GB AT&T GSM Unlocked Phone 6.8"" - NO CDMA (Silver)",$287.67,4.3 out of 5 stars,257,https://www.amazon.com/LG-Velvet-G900UM-128GB-Unlocked/dp/B08TQKMB5Q/ref=sr_1_8?dchild=1&keywords=lg+mobile&qid=1634308779&sr=8-8
LG K52 LM-K520HMW 64GB GSM Unlocked Android Smartphone (International Variant/US Compatible LTE) - Red,$159.72,2.9 out of 5 stars,12,https://www.amazon.com/LG-K52-LM-K520HMW-Smartphone-International/dp/B08XWRRZ3V/ref=sr_1_10?dchild=1&keywords=lg+mobile&qid=1634308779&sr=8-10
Tracfone Keep Your Own Phone 3-in-1 Prepaid SIM Kit,$1.00,4.3 out of 5 stars,"4,094",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04754351M6XYX7VV97A9&url=%2FeGift-Promotion-Tracfone-Phone-Prepaid%2Fdp%2FB0728N8PT9%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634308779%26sr%3D8-11-spons%26psc%3D1&qualifier=1634308779&id=8115002162676968&widgetName=sp_mtf
"LG Velvet 5G G900TM 128GB T-Mobile Locked (Metro, Simple, Ultra) Android GSM Phone 6.8"" - NO CDMA (Aurora White)",$289.95,4.5 out of 5 stars,15,https://www.amazon.com/LG-Velvet-G900TM-T-Mobile-Android/dp/B08WJMDWT8/ref=sr_1_12?dchild=1&keywords=lg+mobile&qid=1634308779&sr=8-12
